datetime,close,high,low,open,volume
2026-02-06 04:00:00-05:00,596.02,596.5,595.76,596.0,0
2026-02-06 04:01:00-05:00,595.92,596.02,595.63,595.88,0
2026-02-06 04:02:00-05:00,595.85,595.95,595.71,595.93,0
2026-02-06 04:03:00-05:00,595.77,595.8,595.59,595.78,0
2026-02-06 04:04:00-05:00,595.64,595.69,595.51,595.69,0
2026-02-06 04:05:00-05:00,595.6,595.6,595.42,595.58,0
2026-02-06 04:06:00-05:00,596.09,596.09,595.72,595.72,0
2026-02-06 04:07:00-05:00,596.3,596.3,596.06,596.06,0
2026-02-06 04:08:00-05:00,596.55,596.6,596.35,596.36,0
2026-02-06 04:09:00-05:00,596.9,596.94,596.6,596.61,0
2026-02-06 04:10:00-05:00,597.13,597.13,596.75,596.9,0
2026-02-06 04:11:00-05:00,597.11,597.23,597.07,597.15,0
2026-02-06 04:12:00-05:00,597.37,597.37,597.23,597.23,0
2026-02-06 04:13:00-05:00,597.49,597.57,597.31,597.36,0
2026-02-06 04:14:00-05:00,597.75,597.75,597.47,597.49,0
2026-02-06 04:15:00-05:00,597.99,597.99,597.52,597.68,0
2026-02-06 04:16:00-05:00,598.0,598.0,597.88,597.97,0
2026-02-06 04:17:00-05:00,598.0,598.05,597.92,597.92,0
2026-02-06 04:18:00-05:00,597.35,598.13,597.35,598.05,0
2026-02-06 04:19:00-05:00,597.78,597.85,597.11,597.37,0
2026-02-06 04:20:00-05:00,598.4,598.42,597.62,597.7,0
2026-02-06 04:21:00-05:00,597.97,598.49,597.77,598.39,0
2026-02-06 04:22:00-05:00,598.11,598.14,597.9,597.94,0
2026-02-06 04:23:00-05:00,598.28,598.28,597.92,597.95,0
2026-02-06 04:24:00-05:00,598.68,598.76,598.28,598.28,0
2026-02-06 04:25:00-05:00,598.75,598.82,598.62,598.76,0
2026-02-06 04:26:00-05:00,599.12,599.15,598.75,598.75,0
2026-02-06 04:27:00-05:00,599.0,599.0,598.78,599.0,0
2026-02-06 04:28:00-05:00,599.35,599.35,599.13,599.15,0
2026-02-06 04:29:00-05:00,599.38,599.46,599.2,599.39,0
2026-02-06 04:30:00-05:00,599.61,599.66,599.32,599.37,0
2026-02-06 04:31:00-05:00,599.67,599.95,599.67,599.75,0
2026-02-06 04:32:00-05:00,599.97,600.0,599.73,599.73,0
2026-02-06 04:33:00-05:00,600.28,600.35,599.83,599.92,0
2026-02-06 04:34:00-05:00,600.6,600.68,600.15,600.15,0
