date,close,high,low,open,volume
2024-02-27 19:00:00-05:00,430.5151672363281,431.89989800106764,429.55576215835174,430.67342304327576,32938800
2024-02-28 19:00:00-05:00,434.2044677734375,435.2825572489929,430.2679334863053,433.44288993773637,42495200
2024-02-29 19:00:00-05:00,440.7422790527344,441.70168427871766,435.0353196227552,435.0946617864891,43853000
2024-03-03 19:00:00-05:00,439.16961669921875,441.16757000135414,438.9223476417633,440.7422442825303,34325700
2024-03-04 19:00:00-05:00,431.2867126464844,436.13321070998603,428.9129355407324,436.1233102879435,57917100
2024-03-05 19:00:00-05:00,433.99676513671875,437.1617909455897,432.11752634641863,435.5100505533122,46234500
2024-03-06 19:00:00-05:00,440.58404541015625,441.8401614320141,436.04415867740255,437.58714545912426,44526700
2024-03-07 19:00:00-05:00,434.2242126464844,443.73915083023303,433.5516480898913,440.9400483443204,72096000
2024-03-10 20:00:00-04:00,432.6120910644531,433.86820708089914,430.6833802337702,432.7307753892559,45860000
2024-03-11 20:00:00-04:00,438.81353759765625,439.169590530755,431.69217709358895,434.92647549028214,55300900
2024-03-12 20:00:00-04:00,435.4408264160156,437.8344042624904,434.32316540516723,437.8146034192605,37928700
2024-03-13 20:00:00-04:00,434.34295654296875,437.2013711940787,431.6229968703131,436.6771619918081,52195200
2024-03-14 20:00:00-04:00,429.1799621582031,434.0758712852826,428.01282929085465,431.30646997203826,73069800
2024-03-17 20:00:00-04:00,433.27325439453125,436.799019433192,433.0355416540417,434.5112345408061,47323800
2024-03-18 20:00:00-04:00,434.3527526855469,434.75881378474264,429.1631195603212,431.2627591956044,43004100
2024-03-19 20:00:00-04:00,439.50274658203125,439.83947355327797,433.8476617642306,435.5511236461475,43653500
2024-03-20 20:00:00-04:00,441.5825500488281,445.01918405535713,441.38449136499906,444.563615836014,39345700
2024-03-21 20:00:00-04:00,442.087646484375,443.1869582956942,440.2158060824554,441.06755210012795,28253900
2024-03-24 20:00:00-04:00,440.48321533203125,441.9687913921321,438.28456155411703,439.2848288821818,27789200
2024-03-25 20:00:00-04:00,439.0570983886719,442.9295039517245,438.8292991588011,442.0084237433776,34142000
2024-03-26 20:00:00-04:00,440.5525817871094,442.2461604974196,437.68047370800286,442.1471160345277,41359200
2024-03-27 20:00:00-04:00,439.740478515625,441.3548095248046,439.3839245031317,440.5030634346059,36839600
2024-03-31 20:00:00-04:00,440.67138671875,443.22656422032304,438.7599225684326,440.6911835186877,38729000
2024-04-01 20:00:00-04:00,436.8683166503906,437.18524681676587,433.81794691537067,435.8482222344713,44259700
2024-04-02 20:00:00-04:00,437.8488464355469,439.73057030870933,434.72914235318194,434.73902564244975,39949800
2024-04-03 20:00:00-04:00,431.15380859375,442.65218366133433,430.9260093710551,442.0381201337382,57267700
2024-04-04 20:00:00-04:00,436.23443603515625,438.90848489014775,431.76779458132734,432.5799167045909,54744600
2024-04-07 20:00:00-04:00,436.36328125,438.24500517088006,434.9767494253582,437.16549002797586,28144900
2024-04-08 20:00:00-04:00,437.97760009765625,438.97786755173837,433.23365148531974,438.70056119454836,39443600
2024-04-09 20:00:00-04:00,434.1546936035156,435.01632297538475,432.08479436356697,432.79787215823893,61502200
2024-04-10 20:00:00-04:00,441.08734130859375,442.0381015377106,433.7485918413182,436.0264933000666,45474600
2024-04-11 20:00:00-04:00,434.0556335449219,437.9874596754413,432.67901534686695,436.85843750519206,53665000
2024-04-14 20:00:00-04:00,426.9149475097656,437.898303031709,426.0731150198092,437.80917209382505,63453600
2024-04-15 20:00:00-04:00,426.9546203613281,429.5890458719669,425.56808857260404,426.75653143831346,47619000
2024-04-16 20:00:00-04:00,421.7451477050781,428.955142507988,420.814184263637,428.93534570732106,56880500
2024-04-17 20:00:00-04:00,419.3385314941406,424.12207335388047,418.76409179599244,422.3889011950564,46549400
2024-04-18 20:00:00-04:00,410.6628112792969,418.6849295159116,409.09801750840364,418.1600270876362,75231000
2024-04-21 20:00:00-04:00,414.7926940917969,417.1299861620728,409.9596146373191,413.2972043639061,47807700
2024-04-22 20:00:00-04:00,420.9825439453125,422.1809001504878,414.84215091255453,416.72387451158625,44384700
2024-04-23 20:00:00-04:00,422.40875244140625,425.5977906054682,420.1209674785059,424.0825040686884,48440300
2024-04-24 20:00:00-04:00,420.3685302734375,421.2301595778061,414.11920921453924,415.2086075113914,57392200
2024-04-25 20:00:00-04:00,426.85552978515625,428.39061298823793,422.8147761196788,423.50802682708354,41874900
2024-04-28 20:00:00-04:00,428.5887451171875,429.5890427902212,425.845391875459,428.9650959337398,30022200
2024-04-29 20:00:00-04:00,420.5072021484375,428.4005650240207,420.4279847151419,427.0041197471969,43665900
2024-04-30 20:00:00-04:00,417.4667053222656,426.0038418646144,416.6149894826864,419.0810362812296,52251700
2024-05-01 20:00:00-04:00,422.7949523925781,423.6962055209441,416.58525516971946,421.21033183967234,36559000
2024-05-02 20:00:00-04:00,431.2924499511719,432.2828339850437,428.45993589775503,430.262442093191,48515300
2024-05-05 20:00:00-04:00,436.0166015625,436.1057325049194,432.32245797578884,433.0949563675479,30227200
2024-05-06 20:00:00-04:00,436.0859069824219,437.72003460073387,435.353002241703,436.462257752822,30996100
2024-05-07 20:00:00-04:00,435.82843017578125,437.23478891429755,433.34255638141855,433.4614278631959,24896700
2024-05-08 20:00:00-04:00,436.7791748046875,437.3536144949182,434.2437939852255,436.09580737355435,24580100
2024-05-09 20:00:00-04:00,437.8091735839844,440.0375377110357,436.2641768738253,438.2845688117729,27116600
2024-05-12 20:00:00-04:00,438.81939697265625,439.81969463835946,437.4031548884309,439.7206501782885,22994200
2024-05-13 20:00:00-04:00,441.6419982910156,442.17681419663,438.2053640696036,438.39353947668786,34478300
2024-05-14 20:00:00-04:00,448.5449523925781,448.7925484173283,442.60264779857414,444.11793426108017,41464700
2024-05-15 20:00:00-04:00,447.6338195800781,450.3177520473984,447.46544098326683,448.35678063477684,34780400
2024-05-16 20:00:00-04:00,447.41595458984375,448.3667149138811,445.217300561421,447.7625648640613,35803700
2024-05-19 20:00:00-04:00,450.5356140136719,451.1991544049052,447.44562059843406,447.6337959867833,24474200
2024-05-20 20:00:00-04:00,451.41705322265625,451.60522861647325,448.48552479790663,448.68361370427937,23167700
2024-05-21 20:00:00-04:00,451.3279113769531,452.427253399749,448.72319646411813,451.674551842668,25120000
2024-05-22 20:00:00-04:00,449.2976379394531,456.15107873435795,447.505045202188,456.1213684214136,40899200
2024-05-23 20:00:00-04:00,453.54638671875,454.8140770907989,449.20849975410897,450.9119615250611,29669500
2024-05-27 20:00:00-04:00,455.2597351074219,455.31915573278667,452.29849645495904,454.76454307996664,26216800
2024-05-28 20:00:00-04:00,452.0509033203125,453.83358254085584,450.961474808148,451.10014308429754,29739200
2024-05-29 20:00:00-04:00,447.20794677734375,451.25864451125,445.88083565530343,451.11997622393034,30536800
2024-05-30 20:00:00-04:00,446.3760070800781,448.12900627200275,438.79957479670367,447.43572531572056,55941300
2024-06-02 20:00:00-04:00,448.772705078125,451.19912773458117,443.59298589680577,450.198860450723,32997500
2024-06-03 20:00:00-04:00,450.0008239746094,451.19918028695116,446.7919891245828,448.5152478071342,23767400
2024-06-04 20:00:00-04:00,459.0727233886719,459.1519408150762,450.0404255724261,453.57610393016483,33817400
2024-06-05 20:00:00-04:00,458.91424560546875,460.0730082253945,457.745599697593,459.7560780803062,21966800
2024-06-06 20:00:00-04:00,458.50823974609375,461.2615064868881,457.39901432881345,458.5478635750326,25829700
2024-06-09 20:00:00-04:00,460.3602294921875,460.7167834859618,457.0919740405648,457.3791938933102,20660800
2024-06-10 20:00:00-04:00,463.5195617675781,463.63843324942377,457.58717060137843,459.0826602839929,22053300
2024-06-11 20:00:00-04:00,469.5906066894531,471.9180153282366,466.7581227209805,467.4513734442813,34532600
2024-06-12 20:00:00-04:00,472.1359558105469,473.78991071888055,469.8580842460955,473.12634000798266,25859000
2024-06-13 20:00:00-04:00,474.5821533203125,474.65148746022913,471.4723327778962,471.9378145079992,23372600
2024-06-16 20:00:00-04:00,480.39569091796875,482.17837014074405,473.54225013126796,474.8495341233791,37054500
2024-06-17 20:00:00-04:00,480.54425048828125,481.2276179206919,478.78136803670156,480.3461918069638,24438600
2024-06-19 20:00:00-04:00,476.8402099609375,482.1585674757915,475.00799342285035,481.74262310012705,33918700
2024-06-20 20:00:00-04:00,475.5626220703125,477.89994422445284,474.0671626562886,476.5629196665965,37456800
2024-06-23 20:00:00-04:00,470.14849853515625,476.0704901816445,470.0096401291118,474.3345633370376,37751000
2024-06-24 20:00:00-04:00,475.52490234375,475.82247767960627,471.29915094162914,472.24152329210784,29014700
2024-06-25 20:00:00-04:00,476.5069885253906,477.0525837362834,474.28501169137144,474.70161721166807,22737100
2024-06-26 20:00:00-04:00,477.73699951171875,479.2150378931876,475.44557836994903,476.25899140241336,26222100
2024-06-27 20:00:00-04:00,475.25714111328125,483.2821106451487,474.61237425300055,478.5306217666664,34881600
2024-06-30 20:00:00-04:00,478.0445251464844,478.60991833266274,472.4300379129382,476.1796388241986,24898300
2024-07-01 20:00:00-04:00,483.0638427734375,483.1233578470698,476.41771034430104,476.54666976122564,26723600
2024-07-02 20:00:00-04:00,487.0911865234375,487.22014593921017,482.3099405032558,482.3099405032558,18064900
2024-07-04 20:00:00-04:00,492.1700439453125,492.60650802811756,487.63678715518455,487.93439281464197,28495900
2024-07-07 20:00:00-04:00,493.34051513671875,493.89600933800205,491.51531557933606,492.53703137157106,22109400
2024-07-08 20:00:00-04:00,493.7670593261719,495.9791371759557,492.2493643773,494.8582194823918,25614500
2024-07-09 20:00:00-04:00,498.915283203125,499.4707773682386,494.3820572776978,495.6914190828017,28046900
2024-07-10 20:00:00-04:00,487.9739990234375,499.2327308546622,486.7836673248715,499.0244281050416,49966600
2024-07-11 20:00:00-04:00,490.8407897949219,495.60217729832374,488.0831470637036,488.5493686532913,37109400
2024-07-14 20:00:00-04:00,492.1600646972656,496.98099738699784,490.1166331862592,492.61635700216624,31151400
2024-07-15 20:00:00-04:00,492.3485412597656,494.43165958456547,489.18419210348236,493.6182465755792,25950600
2024-07-16 20:00:00-04:00,477.8957214355469,484.8691868130836,477.82630736398596,484.3533794143371,56268800
2024-07-17 20:00:00-04:00,475.6340637207031,481.8040454037507,472.43995686345664,481.625500179522,49347400
2024-07-18 20:00:00-04:00,471.418212890625,477.81635549276973,470.1286793186739,475.29677314789285,42042900
2024-07-21 20:00:00-04:00,478.4413146972656,479.4630304930446,473.86837138221824,477.2906394842837,40300000
2024-07-22 20:00:00-04:00,476.75494384765625,480.5343021568422,476.27882328723075,477.5385992995722,23282500
2024-07-23 20:00:00-04:00,459.65362548828125,470.37669190670323,458.79062664163604,470.0096721923519,58818600
2024-07-24 20:00:00-04:00,454.5846862792969,464.17693566447775,451.9659322987188,459.9908707311392,59256800
2024-07-25 20:00:00-04:00,459.2469177246094,462.1831057036395,456.07263917765084,458.92948381548075,39992100
2024-07-28 20:00:00-04:00,460.1694030761719,464.1471651465655,457.90773959031816,461.9648449969865,28218500
2024-07-29 20:00:00-04:00,453.8506774902344,462.80805968299586,450.49785360966354,462.1037777697679,41317200
2024-07-30 20:00:00-04:00,467.28179931640625,468.9879687874832,462.65927004857963,464.1075206769537,44552100
2024-07-31 20:00:00-04:00,455.9635009765625,471.7257007264771,452.31310213687846,467.9662010175527,56653900
2024-08-01 20:00:00-04:00,445.1412658691406,449.92251191215183,440.89568575875717,447.2640710604141,66323200
2024-08-04 20:00:00-04:00,431.86883544921875,438.7331994932411,420.04471069161315,421.2945574349509,87483500
2024-08-05 20:00:00-04:00,435.99542236328125,443.47479628382376,431.0653884921357,433.71393042413985,63164400
2024-08-06 20:00:00-04:00,431.2736511230469,445.3892270566972,430.87687390170487,442.8994023141215,54929200
